#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2295 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:88 out:85 type:P dur:2 cpbdur:2 q:18.88 aq:9.76 tex:246135 mv:6168 misc:633 imb:60 pmb:1110 smb:2430 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:18.87 aq:13.92 tex:25076 mv:5898 misc:1554 imb:4 pmb:763 smb:2833 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:18.86 aq:14.99 tex:10626 mv:3479 misc:1559 imb:3 pmb:515 smb:3082 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:18.87 aq:14.79 tex:10964 mv:3788 misc:1624 imb:2 pmb:544 smb:3054 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:18.90 aq:8.88 tex:277723 mv:6573 misc:608 imb:85 pmb:1134 smb:2381 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:18.89 aq:12.37 tex:45386 mv:6708 misc:1186 imb:4 pmb:939 smb:2657 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:18.89 aq:15.27 tex:19261 mv:4508 misc:1567 imb:6 pmb:717 smb:2877 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:18.90 aq:15.88 tex:9535 mv:3619 misc:1558 imb:0 pmb:539 smb:3061 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:18.96 aq:9.87 tex:227359 mv:6417 misc:624 imb:61 pmb:1114 smb:2425 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:18.93 aq:13.66 tex:47457 mv:6917 misc:1066 imb:6 pmb:979 smb:2615 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:18.92 aq:15.25 tex:11839 mv:4081 misc:1576 imb:2 pmb:583 smb:3015 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:18.95 aq:15.55 tex:12354 mv:3887 misc:1591 imb:1 pmb:572 smb:3027 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:19.02 aq:10.00 tex:234926 mv:6450 misc:560 imb:58 pmb:1122 smb:2420 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:18.99 aq:13.60 tex:51910 mv:6841 misc:1065 imb:3 pmb:983 smb:2614 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:18.97 aq:15.16 tex:12601 mv:3951 misc:1560 imb:0 pmb:582 smb:3018 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:19.00 aq:15.08 tex:12650 mv:3814 misc:1568 imb:3 pmb:557 smb:3040 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:19.05 aq:9.90 tex:232059 mv:6472 misc:581 imb:67 pmb:1105 smb:2428 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:19.03 aq:13.74 tex:52332 mv:6735 misc:997 imb:6 pmb:994 smb:2600 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:19.02 aq:15.36 tex:12797 mv:4031 misc:1572 imb:3 pmb:602 smb:2995 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:19.04 aq:15.72 tex:13187 mv:3981 misc:1560 imb:4 pmb:588 smb:3008 d:- ref:0 ;
